learning_rate,gamma,n_steps,gae_lambda,vf_coef,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,epilen_ratio,gap,algorithm
0.0041526091583864,0.9202741215454786,2048,0.9577034389978064,0.583641537221385,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,1
0.0001224754690824,0.8808964559610262,512,0.930438395216972,0.8125995572974836,49.2,11.707262703125782,50.7,16.914786430812537,1.5,1.0099601593625498,1.5,1
0.0003703087442439,0.8473637923071595,1024,0.9759736869286928,0.6308629581425449,237.95,13.669217241671156,515.1,304.4521144613714,277.15000000000003,2.1556811048336475,277.15000000000003,1
0.0036238410134119,0.8670026802956944,128,0.950973878299412,0.8600638392051431,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,1
0.000165308695006,0.95319791607062,512,0.9454285383550612,0.7027374799944051,62.6,14.489306401619093,65.6,22.52864842816808,2.999999999999993,1.0314465408805031,2.999999999999993,1
0.0041922417816558,0.9951442142161864,1024,0.9860802011810484,0.5274519536549795,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,1
0.0001147643611007,0.8140788862071573,1024,0.920035345924745,0.58126966307315,41.35,7.101232287427302,42.4,15.863164879682744,1.0499999999999972,1.0011806375442738,1.0499999999999972,1
0.0025667348367749,0.8120017109226954,512,0.9028828687561176,0.8110606845634084,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,1
0.0010995301168199,0.872776931202317,128,0.9743272692477348,0.6931797973309037,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,1
0.0070182188299332,0.8342334482475651,128,0.9182697113705556,0.736821779528497,4.0,0.0,15.0,3.898717737923585,11.0,3.0,11.0,1
0.0014215894544198,0.9933492517161886,512,0.934565261017265,0.7248224241796944,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,1
0.0001736488508919,0.8876793675163455,512,0.9508047635133344,0.7962597875375962,92.05,27.211164987923613,112.2,51.390271452873264,20.15000000000001,1.2058033315421817,20.150000000000006,1
0.0005669044623122,0.9542276622393172,128,0.91490541131347,0.8626882864528587,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,1
0.000486507725964,0.90393937999467,1024,0.9379189054178808,0.8860687242021438,158.2,33.36854806550624,205.05,82.93399483926963,46.85000000000002,1.2880025125628145,46.85000000000002,1
0.0001029349373233,0.9867215127073394,1024,0.912534079058302,0.9567269827012111,36.35,7.391041875135061,40.9,18.28633369486623,4.549999999999997,1.0950468540829985,4.549999999999997,1
0.0001230029898259,0.9644508801466334,128,0.9226251577298376,0.7425046662418593,289.95,91.40376086354432,377.8,200.3161501227497,87.85000000000002,1.298504897748754,87.85000000000002,1
0.000417230817868,0.8596720406246406,2048,0.9096203129964372,0.7467728719834262,77.15,18.4723441934152,95.85,39.3119256714804,18.69999999999999,1.2264875239923223,18.69999999999999,1
0.0001495959343528,0.8566916922814852,2048,0.9264276777307404,0.6768562797259624,37.6,6.8585712797929,37.75,19.19081811700585,0.1499999999999985,0.9779792746113988,0.14999999999999858,1
0.0003278214845148,0.9184891614422532,512,0.9259887032480278,0.5117424648717976,141.35,14.178416695809162,261.8,140.6750155500258,120.45000000000002,1.8391289076220585,120.45000000000002,1
