learning_rate,gamma,batch_size,n_steps,clip_range,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,epilen_ratio,gap,algorithm,gae_lambda,vf_coef,tau,buffer_size,ent_coef
0.0004535833692683,0.9705907461035148,128.0,128.0,0.2391515284467347,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0051731106231554,0.8400055729326145,64.0,2048.0,0.2193047872868548,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0008067871730742,0.8306972931711114,256.0,512.0,0.1830503156130063,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0002638133977647,0.8679804454161776,64.0,512.0,0.1419447192147696,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0013875893188276,0.8746640365885252,256.0,128.0,0.2447085949876903,500.85,65.93426650839457,783.85,136.26638433597626,283.0,1.561920892697021,283.0,0,,,,,
0.0081673386586337,0.8392960975717605,256.0,1024.0,0.2488072172784957,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0002505425327645,0.8525630029154897,128.0,128.0,0.1862129781122656,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0007359654556651,0.888135260242624,64.0,128.0,0.1461657089293261,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.000330588918032,0.9681493114344406,128.0,2048.0,0.1676883235540594,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0004823733607822,0.8781407233547266,128.0,1024.0,0.1045967938980253,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0008797507678823,0.917257185995508,256.0,512.0,0.1647846964899493,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0080895230324754,0.8115667145156182,256.0,1024.0,0.2069641855704542,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0090215957294193,0.9620941124002071,256.0,2048.0,0.2834421554112151,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0019429357080491,0.9358229466644208,256.0,512.0,0.2500842661537917,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
