learning_rate,gamma,batch_size,n_steps,clip_range,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,epilen_ratio,gap,algorithm,gae_lambda,vf_coef,tau,buffer_size,ent_coef
0.0014745954282022,0.8802042599175346,64.0,128.0,0.1964320543831546,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0002428938819856,0.890217097655914,256.0,128.0,0.1829268009306565,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0004535833692683,0.9705907461035148,128.0,128.0,0.2391515284467347,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0051731106231554,0.8400055729326145,64.0,2048.0,0.2193047872868548,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0008067871730742,0.8306972931711114,256.0,512.0,0.1830503156130063,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0002638133977647,0.8679804454161776,64.0,512.0,0.1419447192147696,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0013875893188276,0.8746640365885252,256.0,128.0,0.2447085949876903,500.85,65.93426650839457,783.85,136.26638433597626,283.0,1.561920892697021,283.0,0,,,,,
0.0081673386586337,0.8392960975717605,256.0,1024.0,0.2488072172784957,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0002505425327645,0.8525630029154897,128.0,128.0,0.1862129781122656,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0007359654556651,0.888135260242624,64.0,128.0,0.1461657089293261,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.000330588918032,0.9681493114344406,128.0,2048.0,0.1676883235540594,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0004823733607822,0.8781407233547266,128.0,1024.0,0.1045967938980253,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0008797507678823,0.917257185995508,256.0,512.0,0.1647846964899493,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0080895230324754,0.8115667145156182,256.0,1024.0,0.2069641855704542,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0090215957294193,0.9620941124002071,256.0,2048.0,0.2834421554112151,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0019429357080491,0.9358229466644208,256.0,512.0,0.2500842661537917,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0001376000494669,0.9426271689384192,64.0,1024.0,0.1069405888297085,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0013400591494641,0.9184998350349012,64.0,1024.0,0.1891109424115762,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0008422741872976,0.9957163232739816,256.0,1024.0,0.1481849500034149,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0046910964255304,0.8819541846550932,128.0,2048.0,0.1971364717181729,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0001098357415129,0.8097133408367704,128.0,1024.0,0.2549848076185883,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.004797033079227,0.8357174848681795,64.0,1024.0,0.2122791110814176,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0039429773735527,0.8504858578949576,128.0,512.0,0.1959982886204194,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0004418364114749,0.9976348481150432,256.0,128.0,0.2202824391011524,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0050234808417176,0.8628162687938664,256.0,1024.0,0.132088802579672,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.000304165368735,0.8313739066975933,128.0,1024.0,0.2133077657868472,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0003243373474712,0.995863419577141,256.0,2048.0,0.249060102554288,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.009474877064556,0.9902761706669838,128.0,2048.0,0.1478411486293946,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0042458130476191,0.869633304340311,256.0,512.0,0.2229425517859382,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0063162512418044,0.8988036531009109,256.0,512.0,0.2321654151430739,199.05,28.5857919253604,443.2,5.749782604586019,244.15,2.215446138465384,244.14999999999998,0,,,,,
0.0016439970222426,0.952479337766349,128.0,128.0,0.1363961320583501,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0066437753763567,0.8756191014623008,128.0,512.0,0.2285939771600707,1000.0,0.0,823.3,353.9582037472786,-176.70000000000005,0.8232999999999999,-176.70000000000005,0,,,,,
0.0018741541139733,0.9071105411010584,128.0,1024.0,0.1611931509813721,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0001778734959865,0.960470314620775,256.0,2048.0,0.153205075917372,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0002622598205307,0.9261456924647578,64.0,512.0,0.2719579507720913,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0004072552978845,0.981063198994316,64.0,2048.0,0.2741516657287922,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0026319519833386,0.9528251401898468,64.0,2048.0,0.2003485190863368,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0003742443624195,0.8323911815382016,128.0,1024.0,0.1291911218918348,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0072487501513867,0.9069043618620584,256.0,512.0,0.1144931355015033,14.05,11.088169371000788,37.95,26.12752380153925,23.9,2.521594684385382,23.900000000000002,0,,,,,
0.0001532251625745,0.8163594879365256,256.0,1024.0,0.293989904891221,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0001027727482022,0.8032802851054975,256.0,2048.0,0.2705201021835119,256.9,3.548238999842034,651.65,67.67220625929082,394.75,2.526754556029469,394.75,0,,,,,
0.0013855529910337,0.963211564483896,256.0,128.0,0.1053453950267532,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0001363835475171,0.8808518110096757,128.0,1024.0,0.1046286983541025,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0063069086947588,0.8077497579995924,64.0,128.0,0.2403434554559285,71.3,22.66296538407981,133.6,13.2,62.3,1.847856154910097,62.3,0,,,,,
0.0009571624316937,0.9309677352131313,128.0,512.0,0.1038700613696278,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.006783248944894,0.9639127763332772,64.0,1024.0,0.2653809857586864,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.002621940051145,0.8712631411392594,128.0,512.0,0.1225906935491774,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0013105232685917,0.931627849494092,64.0,1024.0,0.2052821414293116,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0064572973858876,0.9709909908810744,128.0,512.0,0.217266112941042,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0043491646258493,0.8967176868929728,64.0,128.0,0.1359089413046492,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0005106760467907,0.9297481533429476,256.0,512.0,0.1142755017236895,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0037349481079485,0.9143666165008644,256.0,1024.0,0.1877576356000404,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0026761993816105,0.9365586958587676,256.0,2048.0,0.191008235239527,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0085206357016009,0.8363526276041368,256.0,1024.0,0.1581430148806941,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0003931691600873,0.8736094330231772,128.0,128.0,0.212645818989403,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0007512452736626,0.8430604155396751,256.0,1024.0,0.2515180210521025,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0017345968326482,0.8319127887364764,128.0,1024.0,0.2189193577154683,434.85,2.080264406271472,998.55,4.067861846228311,563.6999999999999,2.2910404955833426,563.6999999999999,0,,,,,
0.0003491895782656,0.8628515677959631,64.0,2048.0,0.2479761098994016,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0025870062693407,0.8393114514279127,128.0,1024.0,0.2968257949782478,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0013325777418363,0.9771035277041388,128.0,2048.0,0.2850264892383565,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0012385667462407,0.931082540535869,64.0,2048.0,0.2042159075674042,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0002423746724336,0.9966982696640004,64.0,2048.0,0.2627663083509344,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0052745244427825,0.9678870699772092,256.0,128.0,0.2288534886746835,1000.0,0.0,386.75,450.81458217320346,-613.25,0.38675,-613.25,0,,,,,
0.0008274466209226,0.8208749190660138,256.0,128.0,0.264393691085288,162.95,1.116915395184434,395.95,12.359105954720189,233.0,2.415065568770967,233.0,0,,,,,
0.0033184113381297,0.9462823461243574,64.0,512.0,0.2645191948187347,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0001115252687496,0.9902891415875088,256.0,1024.0,0.1975683992381946,778.65,7.58468852359805,947.45,84.5810114623844,168.80000000000007,1.2152247803501572,168.80000000000007,0,,,,,
0.0003737975701248,0.991981053156496,64.0,128.0,0.1143335384833255,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0006885566784817,0.8594055562662027,128.0,1024.0,0.1157855415800526,1000.0,0.0,852.3,351.5963737014362,-147.70000000000005,0.8523,-147.70000000000005,0,,,,,
0.0007031934605116,0.9260047943684696,64.0,1024.0,0.2773819236332202,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0042784505568918,0.8187314348970766,128.0,1024.0,0.1734317369715547,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0042881162987612,0.9898841003206844,64.0,1024.0,0.1437684377804225,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.003454207327649,0.9277698027652443,256.0,1024.0,0.1466820121803093,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0007032492865598,0.8953950483735754,256.0,1024.0,0.1543245399077471,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0001640673473905,0.8831574853673255,64.0,128.0,0.2090596013890578,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0011359102229175,0.8925226607780052,64.0,128.0,0.1315550071599338,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
0.0057297139149874,0.8300448426320339,256.0,512.0,0.1680752296481825,132.1,10.760576192751016,374.15,132.36890684749196,242.05,2.8110443275732533,242.04999999999998,0,,,,,
0.0002114476450514,0.9659769011930166,256.0,512.0,0.1265650315912707,1000.0,0.0,1000.0,0.0,0.0,1.0,0.0,0,,,,,
