algorithm,learning_rate,gamma,clip_range,n_steps,gae_lambda,vf_coef,tau,buffer_size,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,seed_repetition,seed_value,generalization_gap
0,0.0002095113035228,0.8736057462340081,0.2873158918883623,128.0,,,,,,681.3050051,136.19256129830416,-19.9849552627129,95.2243025316787,0,27234,701.2899603627129
0,0.0002095113035228,0.8736057462340081,0.2873158918883623,128.0,,,,,,415.9005338,438.9699928760235,-62.67580817874459,88.10663891857939,1,22667,478.5763419787446
0,0.0002095113035228,0.8736057462340081,0.2873158918883623,128.0,,,,,,708.8024483000002,290.50072703146617,145.95244827089482,86.56241314158403,2,72186,562.8500000291053
0,0.0001703767008955,0.9452350789792406,0.2415053405480334,1024.0,,,,,,326.3573975,515.4169742136638,-170.45988799418265,110.74725591488664,0,83885,496.81728549418267
0,0.0001703767008955,0.9452350789792406,0.2415053405480334,1024.0,,,,,,269.4978198,77.03753166908557,5.754439057737182,68.66310074137071,1,33116,263.74338074226284
0,0.0001703767008955,0.9452350789792406,0.2415053405480334,1024.0,,,,,,696.2304158,37.931224586979006,-101.119309450977,13.340605912106048,2,62416,797.3497252509769
0,0.0023516692930913,0.8954043464862861,0.1400770299783923,128.0,,,,,,-205.67466990000003,109.00101537429732,-437.0595242172713,59.09738868259862,0,47420,231.38485431727128
0,0.0023516692930913,0.8954043464862861,0.1400770299783923,128.0,,,,,,168.6307415,114.39050303269468,-218.8190589079298,90.81716323349916,1,33819,387.4498004079298
0,0.0023516692930913,0.8954043464862861,0.1400770299783923,128.0,,,,,,298.8922165,403.0808365976012,-467.21686095542753,89.30685235669682,2,59606,766.1090774554275
0,0.0044190724020238,0.945450756354606,0.2935941072848833,128.0,,,,,,102.0942423,128.03495718906078,-209.8852892430197,71.85767234358809,0,78337,311.97953154301973
0,0.0044190724020238,0.945450756354606,0.2935941072848833,128.0,,,,,,-618.6651813999999,138.93014580826554,-454.9515442157543,49.47623047793287,1,56259,-163.7136371842456
0,0.0044190724020238,0.945450756354606,0.2935941072848833,128.0,,,,,,-1147.8096554,85.37653837362956,-288.07820389391856,15.817226975872115,2,93139,-859.7314515060816
0,0.0046704686537895,0.8155226483676866,0.293781564659182,2048.0,,,,,,129.3764093,185.5760232154062,-365.2658038345762,109.98201073930782,0,85485,494.6422131345762
0,0.0046704686537895,0.8155226483676866,0.293781564659182,2048.0,,,,,,-81.8078635,58.69944732292927,-195.5778249983187,44.00856289810789,1,92493,113.76996149831871
0,0.0046704686537895,0.8155226483676866,0.293781564659182,2048.0,,,,,,154.2280341,111.79708046188247,-296.66494133000526,46.42138020644526,2,82634,450.89297543000527
0,0.0063626676499669,0.8855218345536157,0.1884329858170306,2048.0,,,,,,-45.2903962,98.36982792082009,-245.54005857261944,111.3364483180724,0,38826,200.24966237261944
0,0.0063626676499669,0.8855218345536157,0.1884329858170306,2048.0,,,,,,-149.37251999999998,49.928331341735934,-204.44233997350457,76.1894914607986,1,5323,55.06981997350459
0,0.0063626676499669,0.8855218345536157,0.1884329858170306,2048.0,,,,,,-260.1812191,78.65384480710652,-433.7733763729302,91.44924950960342,2,92345,173.5921572729302
0,0.0003754971176709,0.9824286197891215,0.1447415335353322,1024.0,,,,,,524.5882365,47.8928766451375,-169.52443240564315,58.43055139128056,0,14205,694.1126689056432
