algorithm,learning_rate,gamma,clip_range,n_steps,gae_lambda,vf_coef,tau,buffer_size,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,n_seeds
0,0.0025233865590123,0.9651255104938364,0.1468950284430719,128.0,,,,,,516.1999999999999,124.06166838274446,410.7,19.150889572924033,105.5,3
0,0.0034414852157245,0.8223879387143807,0.1168309353102067,128.0,,,,,,416.59999999999997,14.932598842186579,368.7,2.2226424826665307,47.900000000000006,3
0,0.0013263157356881,0.9369293315968226,0.2028101012964851,1024.0,,,,,,1000.0,0.0,673.1,65.38537244389299,326.90000000000003,3
0,0.0054077479699961,0.9516363357661024,0.2636725185180382,512.0,,,,,,489.0333333333333,31.334011490940934,294.73333333333335,118.7252887664164,194.30000000000004,3
0,0.0002684914215116,0.8486130162558582,0.2885549625217508,128.0,,,,,,750.2333333333332,12.28463358111353,149.06666666666666,33.40039528918452,601.1666666666666,3
0,0.0001407625510434,0.952132793734338,0.1498619064864243,128.0,,,,,,268.23333333333335,69.48356904501655,47.6,2.954781463218558,220.63333333333333,3
0,0.005846148338676,0.9095073436727624,0.2457415032284895,2048.0,,,,,,734.0333333333333,2.368543856465402,525.4666666666667,1.47817151107328,208.5666666666667,3
0,0.0002435434094423,0.810070638132225,0.2055499944581396,512.0,,,,,,427.2,21.56039870909812,203.53333333333333,45.277028994275106,223.66666666666666,3
0,0.0001022254459904,0.90093990800934,0.2230719089700426,1024.0,,,,,,1000.0,0.0,142.06666666666666,53.777671661821095,857.9333333333334,3
0,0.0062968334354773,0.9817820488841078,0.2474759359031171,2048.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0029986442475932,0.9241610070356294,0.2787400188803264,512.0,,,,,,564.4333333333333,45.302297624827,224.76666666666665,6.340682451324757,339.6666666666667,3
0,0.0014549842749715,0.9736711928984784,0.2824788266913623,128.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0010941188230664,0.9151969938862636,0.2587796515402699,2048.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0031312694258671,0.9066838001923384,0.2069579754945664,2048.0,,,,,,737.8000000000001,13.49913577480672,701.3666666666667,8.552387580864968,36.43333333333333,3
0,0.0012255974745401,0.9961895658541045,0.202570503075288,2048.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.000305247304387,0.8249454949980654,0.2209318073363422,512.0,,,,,,834.6666666666666,59.22612496557201,516.2333333333333,8.577569818036528,318.43333333333334,3
0,0.0027812613925832,0.89312134801245,0.1641326150345166,128.0,,,,,,586.8000000000001,107.54694138612602,404.3333333333333,2.5915322230804945,182.4666666666667,3
0,0.0002140371539555,0.8705322785641577,0.1524652352828278,128.0,,,,,,492.3333333333333,26.609498845748153,368.56666666666666,5.6490391610911646,123.76666666666667,3
0,0.0019010566835787,0.8874168233622906,0.258663077827225,1024.0,,,,,,827.3333333333334,41.04171319794316,819.3333333333334,8.853122487449147,8.0,3
0,0.0002216387884208,0.8349999307969111,0.1741866559899135,128.0,,,,,,839.1999999999999,82.08805570172123,68.10000000000001,8.542162525344958,771.1,3
0,0.0005862184130673,0.9786843694010574,0.2844043104356353,1024.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.000666434157729,0.8756058362320303,0.2047641116987605,512.0,,,,,,1000.0,0.0,698.7333333333332,8.075752458921569,301.26666666666665,3
0,0.0005446476955209,0.9937298425180738,0.2485443959578534,1024.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.001022201147639,0.9399647362341352,0.1933028647511207,1024.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0098743200490539,0.8671835564840629,0.287889791161897,512.0,,,,,,131.0,24.906304392450597,38.9,5.627000812423959,92.10000000000001,3
0,0.0032958563896558,0.8132404596294432,0.1485717523272806,1024.0,,,,,,430.3666666666666,30.02182850901018,99.03333333333335,6.088144023271297,331.3333333333333,3
0,0.0013701626093875,0.8640865711844706,0.2323140022097977,2048.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0007964115407548,0.983066673380341,0.1458564176348913,2048.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.00027915185862,0.9744383682718442,0.1737055735402298,1024.0,,,,,,1000.0,0.0,719.1999999999999,8.665640964945027,280.8,3
0,0.001611437747739,0.8534829089673484,0.2669593416172333,2048.0,,,,,,814.6999999999999,14.153484062629637,1000.0,0.0,-185.29999999999998,3
0,0.0022498039486468,0.9597279847253104,0.1395933431055953,512.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0012603205922804,0.9165887323721216,0.1989066917316442,1024.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0026630169813568,0.8675509353318442,0.1116840185969701,128.0,,,,,,706.3666666666667,9.265767342451701,683.2333333333332,0.5587684871413403,23.13333333333333,3
