algorithm,learning_rate,gamma,clip_range,n_steps,gae_lambda,vf_coef,tau,buffer_size,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,seed_repetition,seed_value,generalization_gap
0,0.0073724862417171,0.812242800786805,0.1777684719747842,1024.0,,,,,,275.6062107,11.619918694936263,196.425773339998,271.53577247428274,0,77112,79.18043736000203
0,0.0073724862417171,0.812242800786805,0.1777684719747842,1024.0,,,,,,89.058143,25.401679619797783,101.55057967603209,55.10857263812808,1,91169,-12.492436676032085
0,0.0073724862417171,0.812242800786805,0.1777684719747842,1024.0,,,,,,304.5712668,15.398810374006173,209.5192346572876,282.1790169260946,2,68148,95.05203214271239
0,0.0011671289847883,0.8554012321990724,0.12931682898136,1024.0,,,,,,478.9925339,12.368590730997576,111.74934044778348,62.25283984061653,0,92004,367.24319345221653
0,0.0011671289847883,0.8554012321990724,0.12931682898136,1024.0,,,,,,536.2873006,134.64019990426843,93.87955693919211,53.29434366400508,1,2763,442.40774366080785
0,0.0011671289847883,0.8554012321990724,0.12931682898136,1024.0,,,,,,413.8891825,12.309034153606031,93.4249323033495,62.11845449555797,2,46924,320.4642501966505
0,0.0098157905966665,0.96745256555817,0.195218843326232,2048.0,,,,,,25.415147,24.48338759643228,13.664507281896658,12.336853000698744,0,11277,11.750639718103344
0,0.0098157905966665,0.96745256555817,0.195218843326232,2048.0,,,,,,3.0642768000000005,8.828554610585176,2.1406432393938304,3.646649373663831,1,12478,0.9236335606061701
0,0.0098157905966665,0.96745256555817,0.195218843326232,2048.0,,,,,,222.08295580000004,47.93237466044194,103.85301094052848,38.909606177570026,2,97851,118.22994485947156
0,0.0031320638613742,0.877116307913602,0.1894026256375524,1024.0,,,,,,364.5311226,33.10746336919749,76.85047474671155,54.829674025496864,0,12245,287.68064785328846
0,0.0031320638613742,0.877116307913602,0.1894026256375524,1024.0,,,,,,351.65206820000003,34.504825610416695,114.29525867523624,42.28031623292711,1,5148,237.35680952476378
0,0.0031320638613742,0.877116307913602,0.1894026256375524,1024.0,,,,,,349.21896520000007,62.51540849242057,119.00058796961092,75.39903701501221,2,86678,230.21837723038914
0,0.0055560338041931,0.8346724871377014,0.2125766933348393,512.0,,,,,,306.6058726,21.480084022624563,90.3363496709906,61.28531819851855,0,53882,216.26952292900938
0,0.0055560338041931,0.8346724871377014,0.2125766933348393,512.0,,,,,,343.4287878,223.28714992621607,112.98727642218584,77.38341547623847,1,89615,230.44151137781415
0,0.0055560338041931,0.8346724871377014,0.2125766933348393,512.0,,,,,,350.51148290000003,16.111940346742067,77.88428978405427,70.04975771064507,2,552,272.6271931159458
0,0.00043709899144,0.8524422473312216,0.2384120856577609,128.0,,,,,,299.2648381,6.64151280878815,87.50080503430218,58.90236525166376,0,2782,211.76403306569784
0,0.00043709899144,0.8524422473312216,0.2384120856577609,128.0,,,,,,361.0797508,202.48340253677395,85.0380441932939,55.22325754678033,1,44401,276.0417066067061
0,0.00043709899144,0.8524422473312216,0.2384120856577609,128.0,,,,,,281.5316309,3.7470465918856783,127.37998838424684,64.1261624157724,2,60751,154.15164251575314
0,0.0001805348108159,0.9317099402062984,0.1869044286394791,1024.0,,,,,,440.6508467000001,5.334662908998351,68.01057475269772,49.23466803198139,0,95540,372.6402719473024
0,0.0001805348108159,0.9317099402062984,0.1869044286394791,1024.0,,,,,,339.7492788,6.5344056882866175,111.35318529754878,37.69612769209236,1,61121,228.39609350245124
0,0.0001805348108159,0.9317099402062984,0.1869044286394791,1024.0,,,,,,386.1913205,4.670634876841407,92.79755150973796,65.3833709324656,2,81885,293.39376899026206
0,0.0018536527224969,0.8063788156133381,0.2325244507974029,128.0,,,,,,345.52881020000007,72.93529891250348,133.49885897934436,44.75823089794626,0,65077,212.0299512206557
0,0.0018536527224969,0.8063788156133381,0.2325244507974029,128.0,,,,,,220.7194304,139.57494586407475,102.55376247582026,52.69112693900468,1,68500,118.16566792417973
0,0.0018536527224969,0.8063788156133381,0.2325244507974029,128.0,,,,,,393.0898441,137.07359068739888,104.49240011330694,45.0981484366522,2,59189,288.59744398669307
0,0.0003182247563706,0.9174778467888997,0.2481803855158047,128.0,,,,,,263.3826159,6.591285649442571,125.51470367042349,80.43127177729329,0,36882,137.86791222957652
0,0.0003182247563706,0.9174778467888997,0.2481803855158047,128.0,,,,,,357.4990191,51.73841806554311,101.74765091463924,44.17488817942779,1,21495,255.75136818536077
0,0.0003182247563706,0.9174778467888997,0.2481803855158047,128.0,,,,,,397.86804760000007,3.850484779435838,78.64339665698353,48.70861534559824,2,6788,319.2246509430165
0,0.0001280204200013,0.9755288451959644,0.2048729791931621,1024.0,,,,,,260.23650680000003,2.720592469769069,121.76764273308216,58.8692038975193,0,88091,138.4688640669179
0,0.0001280204200013,0.9755288451959644,0.2048729791931621,1024.0,,,,,,265.1602306,2.906444507038151,98.4331328690052,50.68465560423041,1,50770,166.72709773099479
0,0.0001280204200013,0.9755288451959644,0.2048729791931621,1024.0,,,,,,261.3042808,2.4361102515153434,130.8919790327549,43.00296615026538,2,10520,130.4123017672451
0,0.0057251047331314,0.9215330151867436,0.1197303802531895,2048.0,,,,,,423.3915695,39.867895892096485,110.78434166330844,101.26992401756354,0,23289,312.60722783669155
