algorithm,learning_rate,gamma,clip_range,n_steps,gae_lambda,vf_coef,tau,buffer_size,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,n_seeds
0,0.0005975354945044,0.8401414714340101,0.2016321061167388,1024.0,,,,,,119.35337958812403,137.0547661969877,157.64882663333333,16.010815268461762,-38.29544704520929,3
0,0.0008907828980171,0.9752449238492856,0.2627347549788392,512.0,,,,,,136.71320122601466,133.85673869900435,286.0863362,50.42558054172349,-149.37313497398534,3
0,0.0007106141683609,0.9442769592406024,0.2033246678717012,2048.0,,,,,,166.21779262456502,205.79599265039755,229.00947443333334,45.19801336061181,-62.79168180876831,3
0,0.0001218586233385,0.8585897380129668,0.2882091847057215,1024.0,,,,,,79.50076895946016,65.65731293279319,112.82032609999999,57.55341135144315,-33.319557140539835,3
0,0.0002756922820545,0.9546695371558136,0.2142835591187875,512.0,,,,,,96.79066943906558,64.4237774785093,289.4303978666667,7.5501563902709945,-192.63972842760109,3
0,0.0006160599860275,0.8815234349733102,0.1352364839331916,1024.0,,,,,,159.5807148721302,207.15223268360845,159.08745213333333,90.73920632479167,0.4932627387968627,3
0,0.0067143742069835,0.8149322233767892,0.211896012360195,512.0,,,,,,166.05266764292028,145.72503073906628,180.24736946666667,82.34253920879424,-14.1947018237464,3
0,0.0080504929644128,0.8155436706547595,0.1186283715020025,1024.0,,,,,,102.7328870180548,66.23400531087908,201.73226663333332,54.0541478983801,-98.99937961527853,3
0,0.000386719258385,0.8480664555199038,0.1202889190078277,512.0,,,,,,103.52071080890602,61.29957313249744,83.01834816666667,25.59790283170824,20.502362642239348,3
0,0.0005317549128563,0.9030325116551824,0.2096170964863348,512.0,,,,,,97.67550535104237,68.87241833614831,241.3255393333333,85.47571837722676,-143.65003398229092,3
0,0.0053410105500955,0.8280058548652565,0.1326776696130635,2048.0,,,,,,160.29561793711036,129.76276202868922,210.38209773333332,74.10000032004636,-50.08647979622296,3
0,0.0059843588907641,0.8460734330784357,0.2928310842920888,2048.0,,,,,,130.05090335366162,131.12570937377617,233.44067750000002,30.91645701039754,-103.38977414633842,3
0,0.0006727982427932,0.8113237734583901,0.1519287765732303,128.0,,,,,,131.75977936130946,147.48545428710003,124.03746386666664,34.015202708678494,7.722315494642824,3
0,0.0033346604501413,0.873861338671375,0.2332641391800277,128.0,,,,,,66.26350156332676,61.15677772442634,53.264230266666665,50.84044737923716,12.999271296660092,3
0,0.0004945862892761,0.8295390728639207,0.1886249132930915,2048.0,,,,,,109.70040088170208,63.77146758302852,211.22550503333335,77.00232045144435,-101.52510415163128,3
0,0.0068668695268335,0.8962942388935307,0.1327384043442683,1024.0,,,,,,202.79285521808876,186.66226803942945,129.7788381,44.27963175255371,73.01401711808876,3
0,0.0031959376747513,0.8237075995078087,0.2764062374521626,128.0,,,,,,49.34185653740229,41.973139233338564,15.549115899999997,45.620762872622606,33.792740637402304,3
0,0.0002131393719858,0.8342115714137387,0.1038766713740035,2048.0,,,,,,145.12289233113017,136.368108720346,246.31828933333335,68.89471143391499,-101.19539700220317,3
