algorithm,learning_rate,gamma,clip_range,n_steps,gae_lambda,vf_coef,tau,buffer_size,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,n_seeds
0,0.0073724862417171,0.812242800786805,0.1777684719747842,1024.0,,,,,,223.07854016666667,17.473469562913404,169.1651958911059,202.94112067950178,53.91334427556078,3
0,0.0011671289847883,0.8554012321990724,0.12931682898136,1024.0,,,,,,476.3896723333333,53.10594159629068,99.68460989677503,59.22187933339319,376.7050624365583,3
0,0.0098157905966665,0.96745256555817,0.195218843326232,2048.0,,,,,,83.52079320000001,27.081438955819795,39.88605382060632,18.2977028506442,43.63473937939369,3
0,0.0031320638613742,0.877116307913602,0.1894026256375524,1024.0,,,,,,355.13405200000005,43.37589915734492,103.38210713051957,57.503009091145394,251.75194486948044,3
0,0.0055560338041931,0.8346724871377014,0.2125766933348393,512.0,,,,,,333.5153811,86.95972476519422,93.7359719590769,69.5728304618007,239.7794091409231,3
0,0.00043709899144,0.8524422473312216,0.2384120856577609,128.0,,,,,,313.95873993333333,70.95732064581593,99.97294587061431,59.41726173807216,213.98579406271904,3
0,0.0001805348108159,0.9317099402062984,0.1869044286394791,1024.0,,,,,,388.8638153333334,5.513234491375459,90.7204371866615,50.77138888551312,298.14337814667186,3
0,0.0018536527224969,0.8063788156133381,0.2325244507974029,128.0,,,,,,319.7793615666667,116.52794515465904,113.51500718949052,47.51583542453438,206.26435437717615,3
0,0.0003182247563706,0.9174778467888997,0.2481803855158047,128.0,,,,,,339.5832275333334,20.726729498140504,101.96858374734875,57.77159176743978,237.6146437859846,3
0,0.0001280204200013,0.9755288451959644,0.2048729791931621,1024.0,,,,,,262.2336727333333,2.687715742774188,117.0309182116141,50.85227521733836,145.20275452171927,3
0,0.0057251047331314,0.9215330151867436,0.1197303802531895,2048.0,,,,,,360.1188594333333,38.64698280237741,130.88585479535786,142.68926669075165,229.23300463797548,3
0,0.0001288733674399,0.8394904732661119,0.2591364627528599,128.0,,,,,,147.54273683333335,36.93325116109171,223.95543629640403,297.3712423640211,-76.4126994630707,3
0,0.0001145368826391,0.837699042085644,0.1586151610031355,2048.0,,,,,,385.2988389,15.288662264585989,87.13125502142356,54.9909714919469,298.1675838785765,3
0,0.0015418026948964,0.9321253997625722,0.127784554825864,2048.0,,,,,,437.86874573333336,79.79003281722525,118.73648324655369,67.2448390378253,319.13226248677967,3
0,0.0052066304145952,0.9737478470812728,0.2420666919210267,128.0,,,,,,14.000625666666664,15.260659966841615,15.26300888800373,13.57157823288763,-1.2623832213370634,3
0,0.0001416536420268,0.91526428060609,0.1866473032299038,128.0,,,,,,277.89162490000007,4.698523207479888,82.46228110857191,52.89506547104414,195.42934379142812,3
0,0.0027173520451079,0.8798781874490077,0.2342318262623852,1024.0,,,,,,308.5241661666667,48.55233413842262,128.11401997973397,128.36241931307532,180.4101461869327,3
0,0.0055069137225235,0.8279467367339609,0.2032094520875744,128.0,,,,,,153.6879116,79.10996270527092,68.97857651395412,38.68520753588873,84.70933508604588,3
0,0.0007720342224451,0.935642869477766,0.1114329575630323,2048.0,,,,,,379.5293733666667,3.577810697380464,135.503401679794,183.56653730217616,244.0259716868727,3
