algorithm,learning_rate,gamma,clip_range,n_steps,gae_lambda,vf_coef,tau,buffer_size,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,n_seeds
0,0.0019075519825888,0.9618415123968972,0.1296428545724627,2048.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0003434591158135,0.9386331678416228,0.1673277498165435,1024.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0008023442950552,0.9782084978456302,0.2153083153925957,1024.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0061781029590506,0.906829240994712,0.1432507474820656,512.0,,,,,,732.5666666666666,1.430229196861662,992.4333333333334,22.7,-259.8666666666666,3
0,0.0022058214680301,0.9226757407017036,0.2709789859227788,512.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0063690137957468,0.990673774704548,0.2222901510598,128.0,,,,,,463.43333333333334,67.90804898309493,620.6,40.97330295818802,-157.16666666666666,3
0,0.0055804940436258,0.8362927553532655,0.159226142818402,128.0,,,,,,612.6333333333333,128.1113577911978,358.56666666666666,86.61894795634713,254.0666666666667,3
0,0.0013354223130776,0.8563387124138986,0.1979491735748033,2048.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0006806839724468,0.8770407133383409,0.2177716108846157,512.0,,,,,,1000.0,0.0,836.1333333333333,163.86676159476505,163.86666666666667,3
0,0.0010985167094521,0.8813242376945771,0.1591763956513842,128.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0021584414161878,0.8985995106661667,0.1567029267526221,128.0,,,,,,1000.0,0.0,934.3000000000001,131.40002113985963,65.7,3
0,0.0014464686856163,0.838333208006383,0.2672859485245273,128.0,,,,,,684.6333333333333,3.7725617585696622,896.2333333333332,104.33099571396157,-211.60000000000002,3
0,0.0055596076795578,0.8743431560510977,0.2955176750864853,1024.0,,,,,,439.93333333333334,2.0810549103908023,786.6999999999999,3.7931224311611373,-346.76666666666665,3
0,0.0052087493330267,0.8831149934833367,0.1931209745848618,512.0,,,,,,836.1999999999999,2.3247461032216923,1000.0,0.0,-163.79999999999998,3
0,0.0048310989717319,0.9522319323545766,0.14975643531793,512.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.005413527954524,0.8018233357671231,0.2439508881435212,128.0,,,,,,49.300000000000004,0.8422360656902539,102.16666666666667,15.07438203774655,-52.86666666666667,3
0,0.002418773518488,0.8211627434701597,0.2605691469050929,128.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0057863789438265,0.8422337313439817,0.258222685553922,2048.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0001541430914244,0.8725376220614708,0.2448333188393748,512.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0001177686664533,0.9452822653288454,0.1459295650526959,512.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0009300666425001,0.8129772649545983,0.1679639579972099,512.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0006350123796915,0.9896384305886308,0.1364860156353559,2048.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0002897375903123,0.8975681752464819,0.1847798981403586,2048.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0006473808024714,0.9911431461756208,0.2535076842080136,128.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.003767655660656,0.8949924362508495,0.132404095815914,1024.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0039013278731362,0.9005910796665636,0.2304499397473164,1024.0,,,,,,1000.0,0.0,808.5,126.90917574741745,191.5,3
0,0.0006287527536751,0.9846772714549245,0.1853684198511019,512.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0002672769627306,0.8112752710482654,0.1473069462351351,1024.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0013332668652121,0.9082816760760304,0.1800677615656651,1024.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0036300467639437,0.917899985648458,0.2812403103961959,1024.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0004865893806494,0.8540244743748265,0.2773191841905932,128.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0001322159102021,0.9681860685408348,0.2578064078166269,1024.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.001624641733186,0.8335549121849403,0.2513038173392317,128.0,,,,,,388.26666666666665,2.7263572639328726,419.43333333333334,27.992016635087634,-31.166666666666668,3
0,0.0010104697249185,0.9705041595112746,0.2502964597596302,1024.0,,,,,,935.3666666666667,129.27614285362597,737.6,131.21625915513164,197.76666666666665,3
0,0.0001120424889252,0.8201031519474747,0.1845972540474126,128.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0002177009099774,0.9403881305399648,0.1204342232943594,2048.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0012528640252492,0.8186572189040926,0.2777109830976715,512.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0001141304878283,0.8735548267011813,0.2968094900674293,1024.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0001885715418727,0.947312939328826,0.1159501242193869,1024.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0051710126316164,0.8649765332639647,0.1553238054809908,2048.0,,,,,,698.2666666666668,0.41633319989322654,745.0333333333333,7.092170957393013,-46.76666666666667,3
0,0.0008700837558188,0.9145023599866512,0.1497664386799576,1024.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.009339255124755,0.9877984829488524,0.229714821719545,128.0,,,,,,336.59999999999997,133.3259622288344,138.43333333333334,18.73174512420091,198.16666666666663,3
0,0.0007729588174181,0.92934882590785,0.2967550082405176,512.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0004177861146924,0.8824474614229922,0.1512236182106362,1024.0,,,,,,1000.0,0.0,934.3333333333334,131.33333333333334,65.66666666666667,3
0,0.0003927218024008,0.987378131193343,0.104131883644547,1024.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0011476028343415,0.950889771383982,0.1804281192951826,128.0,,,,,,518.1,5.9627620205679674,922.1999999999999,47.333380281666855,-404.1000000000001,3
0,0.0025520992849093,0.8879828405313529,0.282561961310439,2048.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0006516390855363,0.9683050490642056,0.1279650952854729,2048.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0002371210253248,0.9508666298549866,0.175750219327947,1024.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0034674934231756,0.9357851958355464,0.1242664471558384,512.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0015504036481186,0.9091586341830112,0.1119239564643528,512.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.000204099217246,0.9814442273633952,0.1093785533344885,1024.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0004726331653215,0.9456950897154252,0.1994543850658728,2048.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0086211856857349,0.8486252881415074,0.1807359413819854,1024.0,,,,,,691.3333333333334,0.21081851067789195,738.3000000000001,1.089852181618121,-46.96666666666667,3
0,0.0001758597472771,0.991596100248488,0.1710454615857143,1024.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0002917711985144,0.8092952430144291,0.2874879452458166,1024.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0027884989195542,0.9368968797882492,0.2848318841214061,512.0,,,,,,800.5333333333333,4.174525921187539,646.5,144.4789973229231,154.03333333333333,3
0,0.0001329940635026,0.8836220532232555,0.1501525168830608,512.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0004043910163409,0.9280702837056538,0.1835825097404486,512.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0005782707011231,0.9587551508639,0.2943185547648173,512.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0002241144668839,0.824398750686535,0.115554392781227,512.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0001679398072637,0.8095431331448635,0.1713749007667381,128.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0058539437047452,0.8487482165380368,0.2299827463248275,1024.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.003035806691391,0.8030596705559233,0.244985526917975,128.0,,,,,,136.03333333333333,8.65024830595322,365.59999999999997,135.17268112097466,-229.5666666666667,3
0,0.003960133440906,0.8967773839457858,0.2321401336504328,1024.0,,,,,,874.5333333333333,8.389411315594334,1000.0,0.0,-125.46666666666665,3
0,0.0036839101948621,0.8753884668482781,0.1587570065791677,512.0,,,,,,760.0,1.3984117975602024,932.6666666666666,108.54420502470155,-172.66666666666666,3
0,0.0028351508850375,0.911150839372561,0.176516275882717,2048.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0015680754160583,0.9457022383981626,0.1100422946511961,512.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.004075337444434,0.8736801477738043,0.1923595385633256,128.0,,,,,,174.83333333333334,69.34370011728744,433.73333333333335,32.82309369835952,-258.9,3
0,0.0011245950551283,0.9727149544528788,0.2363457206491714,512.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0030214590089943,0.9486015733340692,0.2464224668233469,128.0,,,,,,491.23333333333335,1.7969726085886888,470.3,96.46289302864716,20.933333333333326,3
0,0.0012793058581019,0.8380598944389743,0.1170865931350286,2048.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0058142541180846,0.9335886234511064,0.2785355428663524,2048.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
0,0.0002209646912269,0.8607150066537498,0.1837925622272092,128.0,,,,,,1000.0,0.0,1000.0,0.0,0.0,3
