algorithm,learning_rate,gamma,clip_range,n_steps,gae_lambda,vf_coef,tau,buffer_size,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,seed_repetition,seed_value,generalization_gap
0,0.0069016886660209,0.961234452402414,0.1750215323320041,1024.0,,,,,,-27.874443815067025,144.37152153049183,-447.0227736,53.581186775796944,0,74195,419.14832978493297
0,0.0069016886660209,0.961234452402414,0.1750215323320041,1024.0,,,,,,-206.792727210284,148.01418362313817,-295.6275613,169.2772377541597,1,83802,88.83483408971603
0,0.0069016886660209,0.961234452402414,0.1750215323320041,1024.0,,,,,,479.2184099147583,452.1714637833642,-619.4878869,77.92287135484244,2,43744,1098.7062968147584
0,0.0012356251413898,0.9284800688009036,0.257485333537895,1024.0,,,,,,1267.4656778267004,53.24123935302013,-469.2911787,75.24577270098311,0,15032,1736.7568565267004
0,0.0012356251413898,0.9284800688009036,0.257485333537895,1024.0,,,,,,846.0996298667451,226.43284250350027,-952.3585832,48.41369600842753,1,86548,1798.458213066745
0,0.0012356251413898,0.9284800688009036,0.257485333537895,1024.0,,,,,,1473.404293746126,18.60685334686522,-357.6268219,66.44597394123808,2,16018,1831.0311156461262
0,0.0007627808189164,0.9222718677857032,0.2746879847714077,1024.0,,,,,,1174.506931559834,39.56544058920179,-763.3889999,64.42000436371697,0,35728,1937.895931459834
0,0.0007627808189164,0.9222718677857032,0.2746879847714077,1024.0,,,,,,1247.5787055943033,27.428126728605125,-410.2448276,40.54958961753725,1,37607,1657.8235331943033
0,0.0007627808189164,0.9222718677857032,0.2746879847714077,1024.0,,,,,,1338.1190834019096,65.68222022943168,100.2426031,141.87678681839077,2,79615,1237.8764803019096
0,0.0011361192511671,0.9373467427721978,0.1688467530610894,512.0,,,,,,1262.4250379765192,149.53724149059445,-1150.2030049999998,190.6907530263957,0,59362,2412.6280429765193
0,0.0011361192511671,0.9373467427721978,0.1688467530610894,512.0,,,,,,1269.1643271636851,475.5354893419176,-22.4329857,111.31876795689746,1,1545,1291.5973128636851
0,0.0011361192511671,0.9373467427721978,0.1688467530610894,512.0,,,,,,1191.8569887173628,554.4517598313928,-591.5098959000001,100.2264767836782,2,25995,1783.3668846173628
0,0.0006166875163253,0.9402205462034072,0.1979457842212371,2048.0,,,,,,1260.0065145081578,42.29758902793207,-532.8073506,73.52474639127463,0,62675,1792.8138651081576
0,0.0006166875163253,0.9402205462034072,0.1979457842212371,2048.0,,,,,,1214.1952725241715,457.1391209492621,-549.1835054000001,51.44730484552951,1,42033,1763.3787779241716
0,0.0006166875163253,0.9402205462034072,0.1979457842212371,2048.0,,,,,,1259.9546854999032,105.01927538487595,-192.5861891,110.34986114839636,2,4464,1452.5408745999032
0,0.002036648320496,0.8628666112883102,0.2593044029853008,512.0,,,,,,-144.0586359375171,12.82913172036601,-787.2136524,134.9463347633631,0,18888,643.1550164624829
0,0.002036648320496,0.8628666112883102,0.2593044029853008,512.0,,,,,,201.1784206010314,141.61597819771285,-481.9750926,39.543907412701614,1,32236,683.1535132010314
0,0.002036648320496,0.8628666112883102,0.2593044029853008,512.0,,,,,,-61.74900615618026,39.69672903530759,-372.4833417,31.430633188530948,2,41835,310.7343355438197
