learning_rate,gamma,batch_size,tau,buffer_size,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,epilen_ratio
0.0001473068634371,0.9483044754063242,64,0.005634944302772,10000,635.55,256.6681661211612,1000.0,0.0,364.4500000000001,1.5714622456195488
0.000286874381954,0.986486796516439,64,0.0073269997981546,100000,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0027623207280045,0.8627017914413413,64,0.0063751041732166,1000000,2.0,0.0,8.45,1.7741194999210173,6.449999999999999,2.8166666666666664
0.0007984517794515,0.8300559826626224,256,0.0067343732257712,1000000,119.8,29.89581910568767,567.45,264.627563757066,447.65,4.697433774834438
0.0004979444795776,0.8683531475331292,64,0.0077117218634788,1000000,871.25,307.92805572081284,895.9,248.1819695304234,24.649999999999977,1.0281156759238008
0.0028136202897992,0.91343748064627,64,0.0072996724050868,1000000,2.0,0.0,8.95,1.4991664350564948,6.949999999999999,2.983333333333333
0.0012073411860856,0.9404545028496422,64,0.0060890690639099,100000,97.1,0.99498743710662,956.85,131.09663420545928,859.75,9.75382262996942
0.005307576034646,0.9456660661663232,256,0.0076409425505024,10000,2.0,0.0,9.35,1.9817921182606413,7.35,3.1166666666666667
0.000177300874118,0.9601998903055176,128,0.0088512479064396,1000000,1000.0,0.0,481.4,56.94593927577277,-518.6,0.4814
0.0040530178981405,0.9115070039340094,64,0.0051852943912177,100000,2.0,0.0,8.75,1.6393596310755,6.75,2.9166666666666665
0.0008437203603534,0.915747650100439,256,0.0054455842655652,10000,779.9,382.4064460753767,1000.0,0.0,220.1,1.2818047811318336
0.0005617112502068,0.957504709474526,256,0.0095148054196912,100000,1000.0,0.0,329.15,149.69043890643115,-670.85,0.32915
0.0003859743307084,0.8588523314176171,128,0.0087196825886662,100000,88.95,57.37810993750143,117.2,7.297944916207576,28.25,1.302946081156198
0.0002614812556255,0.960718891940019,256,0.0069202249661919,10000,1000.0,0.0,262.1,63.25416982302432,-737.9,0.2621
0.0005279245325245,0.8652466986169781,128,0.0091233337556982,100000,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0005618557815113,0.9678514665585704,128,0.0057892078526682,100000,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0047665741181984,0.8583377693987762,64,0.0079349554253851,100000,2.0,0.0,9.05,1.6271140095272978,7.050000000000001,3.016666666666667
0.0002328306638069,0.920849535554496,64,0.0082090373896828,100000,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0039197094366097,0.8536020700488125,64,0.0098891024973695,1000000,2.0,0.0,9.55,1.7457090250096092,7.550000000000001,3.1833333333333336
0.0003143595148652,0.9171516258723612,64,0.00608340719271,100000,1000.0,0.0,960.15,173.70212290009582,-39.85000000000002,0.96015
