learning_rate,gamma,batch_size,tau,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,epilen_ratio
0.0002777097943306,0.926601543644708,128,0.0080782064199731,0.8802530419188214,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0001033424360889,0.9804396633636544,64,0.0083421943210695,0.4161789649515939,1000.0,0.0,1000.0,0.0,0.0,1.0
0.004044841573542,0.8803879393735541,128,0.0093572374926001,0.8499376296477981,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0010542179737867,0.8767034626636632,128,0.0064490326719902,0.6081237577143598,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0004123478981414,0.9550623750089104,64,0.0090723150869434,0.7385021297566823,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0018991503317732,0.8798156196460679,256,0.0085408477086099,0.6103833086025434,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0003814711365182,0.8084288284827359,256,0.0097283699883064,0.4865136960156785,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0004999538016694,0.9591452786728912,256,0.009886249841156,0.8878569229613957,1000.0,0.0,1000.0,0.0,0.0,1.0
0.000460762347504,0.8846560951046099,256,0.0055683877536363,0.4602519273900196,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0001661764701048,0.953477896599136,128,0.005393802510774,0.2984787853073138,1000.0,0.0,1000.0,0.0,0.0,1.0
0.001960603249135,0.8044077475148278,64,0.0069637534543871,0.94745877523275,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0036141323509534,0.8303821486813769,128,0.0098112451970559,0.5745789183663819,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0001174710401283,0.8469076430508652,256,0.0067530521071483,0.9657526321493354,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0028331960128924,0.9930389757323158,128,0.0064182033650738,0.1223469254285013,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0055647548958577,0.9785642851242528,256,0.007930897097238,0.7494525829285287,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0019556126074516,0.991222948416434,256,0.0062261132447386,0.8838963810992851,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0001397406904703,0.8211790104068916,128,0.0093998496740454,0.7209344495925941,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0088718636226232,0.8443511745514299,128,0.0088352146927384,0.5384036044098588,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0001728452977467,0.9217559205852652,256,0.0087590448478472,0.1233011899577894,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0007819140622953,0.9293563897670792,256,0.0089136522897445,0.6454235614416286,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0079854389846268,0.8540542672446125,256,0.0085709996026251,0.2269609769552729,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0014484939118207,0.8090585482400479,64,0.0088279374917709,0.3892809531136586,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0003467039545571,0.8755683658998001,64,0.0092301234318109,0.5059572284665671,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0007946256212998,0.8586567395998725,128,0.0058324621216191,0.1483132881834207,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0008698090866274,0.8918852288698513,256,0.0096644984648192,0.1639379816920391,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0001246749086649,0.9341734713614176,256,0.0092906386070404,0.5582159566638334,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0003421950371691,0.994974920055254,128,0.0063001096510097,0.9800267622759972,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0008831140248813,0.8769524847858805,256,0.0093196344029633,0.920034791499602,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0008053769241554,0.8166454134048009,128,0.0091057859858789,0.5598616728603699,1000.0,0.0,1000.0,0.0,0.0,1.0
0.000859912647633,0.9586695495701494,64,0.0077728462958151,0.1705874254978384,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0027062778071666,0.8495204856733479,64,0.0099190193132859,0.9015321534429624,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0001811119715942,0.8618991440668202,128,0.0084271242965238,0.3501336667917891,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0042408354607912,0.8883490081643721,64,0.0077535527121414,0.1269650756355771,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0003534889366613,0.8565985655400258,128,0.0078610750032682,0.3581253055116207,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0009416333532198,0.8483562516351061,256,0.0058918891734522,0.5611178865932643,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0011992173251365,0.94478488156964,256,0.0062867472664577,0.2017274674329724,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0030578333464097,0.9080889787413848,64,0.0078949722162564,0.1379227482865036,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0067676386988064,0.9714535083392624,64,0.0082532267791898,0.3747460044516018,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0031271723313997,0.849551982720101,256,0.0095968137888446,0.8394262111739834,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0071897960270733,0.8559812611468358,64,0.0073197866372195,0.7644449994765742,183.75,3.418698582794336,714.75,210.1703773132646,531.0,3.868741542625169
0.0079870967765837,0.8541554588411905,256,0.0062357228450779,0.1949688780420164,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0009380022762927,0.8477415018308344,128,0.0064851806766392,0.5995036498383354,1000.0,0.0,1000.0,0.0,0.0,1.0
