learning_rate,gamma,batch_size,n_steps,clip_range,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap
0.0014745954282022274,0.8802042599175346,64,128,0.19643205438315464,1000.0,0.0,1000.0,0.0,0.0
0.00024289388198569614,0.890217097655914,256,128,0.18292680093065652,1000.0,0.0,1000.0,0.0,0.0
0.00045358336926835875,0.9705907461035147,128,128,0.2391515284467347,1000.0,0.0,1000.0,0.0,0.0
0.00517311062315545,0.8400055729326145,64,2048,0.21930478728685485,1000.0,0.0,1000.0,0.0,0.0
0.0008067871730742227,0.8306972931711114,256,512,0.18305031561300633,1000.0,0.0,1000.0,0.0,0.0
0.00026381339776472334,0.8679804454161776,64,512,0.1419447192147696,1000.0,0.0,1000.0,0.0,0.0
0.001387589318827622,0.8746640365885252,256,128,0.24470859498769035,500.85,65.93426650839457,783.85,136.26638433597626,283.0
0.008167338658633781,0.8392960975717605,256,1024,0.2488072172784957,1000.0,0.0,1000.0,0.0,0.0
0.0002505425327645224,0.8525630029154897,128,128,0.18621297811226567,1000.0,0.0,1000.0,0.0,0.0
0.0007359654556651827,0.888135260242624,64,128,0.14616570892932618,1000.0,0.0,1000.0,0.0,0.0
0.0003305889180320632,0.9681493114344406,128,2048,0.16768832355405947,1000.0,0.0,1000.0,0.0,0.0
0.0004823733607822235,0.8781407233547266,128,1024,0.10459679389802537,1000.0,0.0,1000.0,0.0,0.0
0.0008797507678823155,0.917257185995508,256,512,0.16478469648994934,1000.0,0.0,1000.0,0.0,0.0
0.008089523032475435,0.8115667145156182,256,1024,0.20696418557045423,1000.0,0.0,1000.0,0.0,0.0
0.009021595729419345,0.9620941124002073,256,2048,0.2834421554112151,1000.0,0.0,1000.0,0.0,0.0
0.0019429357080491525,0.9358229466644209,256,512,0.25008426615379176,1000.0,0.0,1000.0,0.0,0.0
0.00013760004946691004,0.9426271689384192,64,1024,0.10694058882970854,1000.0,0.0,1000.0,0.0,0.0
0.001340059149464171,0.9184998350349011,64,1024,0.18911094241157622,1000.0,0.0,1000.0,0.0,0.0
0.0008422741872976886,0.9957163232739816,256,1024,0.1481849500034149,1000.0,0.0,1000.0,0.0,0.0
0.004691096425530429,0.8819541846550932,128,2048,0.19713647171817292,1000.0,0.0,1000.0,0.0,0.0
0.00010983574151298258,0.8097133408367704,128,1024,0.2549848076185883,1000.0,0.0,1000.0,0.0,0.0
0.004797033079227082,0.8357174848681795,64,1024,0.21227911108141767,1000.0,0.0,1000.0,0.0,0.0
0.0039429773735527975,0.8504858578949576,128,512,0.19599828862041943,1000.0,0.0,1000.0,0.0,0.0
0.0004418364114749827,0.9976348481150433,256,128,0.2202824391011524,1000.0,0.0,1000.0,0.0,0.0
0.005023480841717656,0.8628162687938664,256,1024,0.13208880257967204,1000.0,0.0,1000.0,0.0,0.0
0.000304165368735048,0.8313739066975933,128,1024,0.21330776578684724,1000.0,0.0,1000.0,0.0,0.0
0.00032433734747120053,0.995863419577141,256,2048,0.24906010255428804,1000.0,0.0,1000.0,0.0,0.0
0.00947487706455603,0.9902761706669838,128,2048,0.1478411486293946,1000.0,0.0,1000.0,0.0,0.0
0.004245813047619147,0.869633304340311,256,512,0.2229425517859382,1000.0,0.0,1000.0,0.0,0.0
0.006316251241804458,0.8988036531009109,256,512,0.2321654151430739,199.05,28.5857919253604,443.2,5.749782604586019,244.14999999999998
0.0016439970222426282,0.952479337766349,128,128,0.13639613205835016,1000.0,0.0,1000.0,0.0,0.0
0.006643775376356796,0.8756191014623008,128,512,0.2285939771600707,1000.0,0.0,823.3,353.9582037472786,-176.70000000000005
0.0018741541139733339,0.9071105411010584,128,1024,0.16119315098137219,1000.0,0.0,1000.0,0.0,0.0
0.00017787349598658679,0.960470314620775,256,2048,0.15320507591737204,1000.0,0.0,1000.0,0.0,0.0
0.0002622598205307382,0.9261456924647578,64,512,0.2719579507720913,1000.0,0.0,1000.0,0.0,0.0
0.0004072552978845316,0.981063198994316,64,2048,0.27415166572879224,1000.0,0.0,1000.0,0.0,0.0
0.0026319519833386588,0.9528251401898469,64,2048,0.20034851908633686,1000.0,0.0,1000.0,0.0,0.0
0.00037424436241952346,0.8323911815382016,128,1024,0.12919112189183488,1000.0,0.0,1000.0,0.0,0.0
0.007248750151386716,0.9069043618620584,256,512,0.11449313550150336,14.05,11.088169371000788,37.95,26.12752380153925,23.900000000000002
0.00015322516257459422,0.8163594879365256,256,1024,0.29398990489122107,1000.0,0.0,1000.0,0.0,0.0
0.00010277274820225248,0.8032802851054975,256,2048,0.2705201021835119,256.9,3.548238999842034,651.65,67.67220625929082,394.75
0.001385552991033754,0.963211564483896,256,128,0.10534539502675329,1000.0,0.0,1000.0,0.0,0.0
0.00013638354751712028,0.8808518110096757,128,1024,0.10462869835410252,1000.0,0.0,1000.0,0.0,0.0
0.006306908694758814,0.8077497579995924,64,128,0.24034345545592856,71.3,22.662965384079815,133.6,13.200000000000001,62.3
0.0009571624316937799,0.9309677352131311,128,512,0.10387006136962783,1000.0,0.0,1000.0,0.0,0.0
0.006783248944894083,0.9639127763332771,64,1024,0.26538098575868646,1000.0,0.0,1000.0,0.0,0.0
0.002621940051145044,0.8712631411392594,128,512,0.1225906935491774,1000.0,0.0,1000.0,0.0,0.0
0.0013105232685917986,0.931627849494092,64,1024,0.20528214142931162,1000.0,0.0,1000.0,0.0,0.0
0.006457297385887619,0.9709909908810745,128,512,0.217266112941042,1000.0,0.0,1000.0,0.0,0.0
0.0043491646258493,0.8967176868929728,64,128,0.13590894130464928,1000.0,0.0,1000.0,0.0,0.0
