learning_rate,gamma,batch_size,tau,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,gap,algorithm
0.0001685889762519,0.8166742739962575,64,0.0084291400412447,0.9469872759883444,292.3670573,3.6840232063631366,216.01302450154907,337.4626501593719,-76.35403279845093,-76.35403279845093,3
0.0071350175523667,0.9479780504179742,128,0.0078296371856797,0.8261129345193011,452.7551869,62.51590349151349,228.069530765526,289.4916595941588,-224.685656134474,-224.68565613447402,3
0.0007667044723074,0.8711440363322418,256,0.0076424184633031,0.4685719454639862,425.8004470500001,8.19003801250232,228.8327381066978,330.05760808649404,-196.9677089433023,-196.9677089433023,3
0.000212651165454,0.8176180116310494,256,0.0080631867127738,0.7909697602124691,301.83857295,5.841322726340148,126.83382072013336,211.2513585552476,-175.00475222986665,-175.00475222986665,3
0.0032174765870853,0.9740620739708504,64,0.0069376794622389,0.5833541240766559,414.5926531500001,3.9274394322564863,102.8282222999842,61.85959289928344,-311.76443085001586,-311.7644308500159,3
0.0013288428569907,0.9340846673250376,128,0.0092115419060617,0.5102284258709433,474.47546195,6.403596934350292,176.4775389048271,281.8220387923537,-297.99792304517285,-297.9979230451729,3
0.0001698913286416,0.8763138435457174,128,0.0055858186138434,0.901437949227812,389.744945,8.717759124242297,94.739780208515,115.3665931363275,-295.00516479148496,-295.00516479148496,3
0.0003145706591946,0.8957100744455169,64,0.005214574586871,0.5669851042925269,448.0016881,12.591471526528018,210.4016635289881,264.0198069659214,-237.6000245710119,-237.60002457101191,3
0.0004509375421245,0.8178454033347791,64,0.0093482057504747,0.5321196167002669,396.14654975,9.83593535648117,177.50935310972855,282.1746570235909,-218.6371966402714,-218.63719664027147,3
0.0057153160543787,0.843756615604193,128,0.0094117619756546,0.5558392838277301,422.9547825000001,8.943822883560367,194.67207121144455,285.14616851034583,-228.2827112885555,-228.28271128855553,3
0.0003296554848573,0.9955951122522262,64,0.0097386750751093,0.4994348827206929,1021.3257282,0.5537034421661744,186.8340851707966,138.63966839848737,-834.4916430292035,-834.4916430292034,3
0.0014890231712133,0.9616465954619584,128,0.0098835827287119,0.5006040927870109,596.88441665,15.106779252700532,166.56016213637776,217.34483597067504,-430.3242545136223,-430.3242545136223,3
0.0037375091219456,0.8560570529812818,128,0.0081971411384288,0.6773089464815608,354.40789155000004,8.606238524377584,182.55423730906915,277.47897428831675,-171.8536542409309,-171.8536542409309,3
0.001255507401975,0.9727201313549512,128,0.0059172944143782,0.2562347987481061,528.39186895,6.8294063528059015,106.7332991964533,58.41557824206069,-421.6585697535467,-421.6585697535467,3
0.0014791900259905,0.9119037037928824,64,0.009638138345757,0.9332693311479814,404.0277041,8.444224419179768,218.25913984285435,299.5740877271821,-185.76856425714564,-185.76856425714564,3
0.0087401033215186,0.8962776538513534,128,0.0080682215311066,0.1592656792155991,460.5315766,19.554085697122108,156.11085699070244,287.5527045264016,-304.4207196092975,-304.4207196092975,3
0.0005379968245611,0.8377063285986714,64,0.0071079892086525,0.5013294194175135,431.76432435,9.778833927768366,268.7313699068967,330.5473096347117,-163.03295444310328,-163.03295444310328,3
0.0001182994218501,0.926055261754316,256,0.007572091609698,0.4801210846359475,463.9710967000001,13.584452078339748,147.9113134932346,203.58844835723272,-316.0597832067655,-316.0597832067655,3
0.000108956119936,0.8461876411682945,128,0.0056909489571358,0.3825798030514087,454.69654615,12.139292993511145,140.66599692946767,223.82568719162904,-314.03054922053235,-314.03054922053235,3
0.0089821993797132,0.9301873745966482,64,0.0097549593571728,0.7070987917742128,465.06883115,28.824947827638194,260.46038590925747,349.15058069356286,-204.60844524074253,-204.60844524074253,3
0.0077218869898896,0.8651910686270193,128,0.0092237899208157,0.9298374259914968,290.4535952,7.689650964489297,348.4430144261802,416.8338173300097,57.98941922618019,57.98941922618019,3
0.0006054722714388,0.971793480575712,256,0.0088260793227086,0.3349587674155073,576.5536301499999,29.612462514699462,100.72068358366305,70.58381574570798,-475.8329465663368,-475.83294656633683,3
0.0001137874400799,0.8066579337996582,64,0.008754469361675,0.962657606674678,275.8386481,3.228514772764835,188.42426133386329,284.013692582737,-87.41438676613674,-87.41438676613672,3
0.0002368414637224,0.9347939849124072,128,0.0054811577218475,0.4435996323430458,443.95619865,11.888487879615658,121.6161524323281,208.27979210986035,-322.3400462176719,-322.3400462176719,3
0.0001614857055726,0.8060761506388313,256,0.0054793668333869,0.5307140290843051,410.0133276,9.97586594922586,190.44118696972728,276.0042072748386,-219.57214063027268,-219.57214063027274,3
0.0005206561883398,0.8340077903120158,64,0.0061846777150438,0.1650840998233029,420.22326795,13.59978208478922,143.0333185693249,202.1833985917542,-277.1899493806751,-277.1899493806751,3
0.0040623839849053,0.9140381561979491,64,0.0050316515458492,0.6392458125064984,432.9447950500001,18.93876135571312,77.28911367007531,61.28215554937724,-355.6556813799248,-355.6556813799248,3
0.0031148511576046,0.9509690245824164,256,0.0058434061720616,0.7302789760369098,388.15299465,2.9625615265381824,169.133137900196,198.568408681956,-219.019856749804,-219.01985674980398,3
0.0043891133837448,0.8657411247185014,128,0.0079923558473401,0.9748727799177576,325.1371578,9.70647556637491,137.78778079499023,206.68082555578457,-187.34937700500976,-187.34937700500979,3
