learning_rate,gamma,tau,buffer_size,train_reward,train_reward_std,test_reward,test_reward_std,seed_repetition,seed_value,generalization_gap
0.0034290813560471,0.8158182001707696,0.0042709618061881,10000,2.0,0.0,9.3,1.676305461424021,0,23756,-7.300000000000001
0.0034290813560471,0.8158182001707696,0.0042709618061881,10000,7.8,2.993325909419153,107.0,6.082762530298219,1,267,-99.2
0.0034290813560471,0.8158182001707696,0.0042709618061881,10000,2.0,0.0,9.2,2.0396078054371136,2,25910,-7.199999999999999
0.0003545622657643,0.973921686101077,0.0088535803747081,10000,155.6,28.653795560099887,468.4,59.17972625823813,0,18111,-312.79999999999995
0.0003545622657643,0.973921686101077,0.0088535803747081,10000,1000.0,0.0,1000.0,0.0,1,7316,0.0
0.0003545622657643,0.973921686101077,0.0088535803747081,10000,1000.0,0.0,1000.0,0.0,2,40728,0.0
0.0003524211806688,0.9620399589224288,0.0042774068957351,100000,1000.0,0.0,1000.0,0.0,0,15414,0.0
0.0003524211806688,0.9620399589224288,0.0042774068957351,100000,1000.0,0.0,1000.0,0.0,1,37748,0.0
0.0003524211806688,0.9620399589224288,0.0042774068957351,100000,1000.0,0.0,1000.0,0.0,2,81400,0.0
0.0067269258948928,0.9625798692860956,0.0021897567280917,100000,2.0,0.0,9.2,1.6,0,36660,-7.199999999999999
0.0067269258948928,0.9625798692860956,0.0021897567280917,100000,2.0,0.0,9.9,1.7,1,28099,-7.9
0.0067269258948928,0.9625798692860956,0.0021897567280917,100000,2.0,0.0,9.4,1.8547236990991407,2,49914,-7.4
0.0004300497278318,0.995660068437238,0.0097427537216612,1000000,1000.0,0.0,1000.0,0.0,0,19379,0.0
0.0004300497278318,0.995660068437238,0.0097427537216612,1000000,1000.0,0.0,960.3,119.1,1,66960,39.700000000000045
0.0004300497278318,0.995660068437238,0.0097427537216612,1000000,1000.0,0.0,1000.0,0.0,2,25648,0.0
0.0001112415032234,0.9187562094434546,0.0088029080155564,100000,1000.0,0.0,615.6,278.5954773502255,0,14741,384.4
0.0001112415032234,0.9187562094434546,0.0088029080155564,100000,115.0,4.959838707054898,371.2,85.42926898902975,1,72351,-256.2
0.0001112415032234,0.9187562094434546,0.0088029080155564,100000,811.5,377.0191639691543,151.9,48.31242076319505,2,46576,659.6
0.0001124622482288,0.8957063577210691,0.0044438406596046,100000,149.3,15.69108026873867,293.2,71.18117728725761,0,69756,-143.89999999999998
0.0001124622482288,0.8957063577210691,0.0044438406596046,100000,180.2,199.71269363763537,186.0,37.98947222586805,1,62011,-5.800000000000011
0.0001124622482288,0.8957063577210691,0.0044438406596046,100000,179.7,5.710516614107694,360.5,14.437797615980076,2,45624,-180.8
0.008019489561418,0.895467054800134,0.0097308030015948,10000,2.0,0.0,8.7,1.6155494421403511,0,19530,-6.699999999999999
0.008019489561418,0.895467054800134,0.0097308030015948,10000,2.0,0.0,9.0,1.5491933384829668,1,16891,-7.0
0.008019489561418,0.895467054800134,0.0097308030015948,10000,2.0,0.0,10.0,1.5491933384829668,2,91223,-8.0
0.0046241302619492,0.97438422533145,0.0053942272904254,100000,2.0,0.0,10.8,1.32664991614216,0,17470,-8.8
0.0046241302619492,0.97438422533145,0.0053942272904254,100000,2.0,0.0,9.0,1.7888543819998317,1,1928,-7.0
0.0046241302619492,0.97438422533145,0.0053942272904254,100000,2.0,0.0,9.3,2.238302928559939,2,17423,-7.300000000000001
0.0014286592306939,0.8311786980492072,0.0031602277217661,10000,83.5,0.5,1000.0,0.0,0,10371,-916.5
0.0014286592306939,0.8311786980492072,0.0031602277217661,10000,49.7,2.1,133.3,3.522782990761707,1,83530,-83.60000000000001
0.0014286592306939,0.8311786980492072,0.0031602277217661,10000,303.4,301.5772537841672,1000.0,0.0,2,84390,-696.6
0.0027361865393326,0.9329765294476288,0.0095961382986003,100000,1000.0,0.0,1000.0,0.0,0,59157,0.0
0.0027361865393326,0.9329765294476288,0.0095961382986003,100000,2.0,0.0,9.3,1.5524174696260025,1,64616,-7.300000000000001
0.0027361865393326,0.9329765294476288,0.0095961382986003,100000,2.0,0.0,9.0,1.2649110640673518,2,14217,-7.0
0.0059488104535158,0.920738499272896,0.0079668461988032,100000,1000.0,0.0,1000.0,0.0,0,42042,0.0
0.0059488104535158,0.920738499272896,0.0079668461988032,100000,2.0,0.0,9.3,1.676305461424021,1,80818,-7.300000000000001
0.0059488104535158,0.920738499272896,0.0079668461988032,100000,2.0,0.0,9.6,1.9078784028338915,2,71278,-7.6
0.0064131028165864,0.9482103201449006,0.0046547034811035,100000,2.0,0.0,8.0,1.8973665961010275,0,93315,-6.0
0.0064131028165864,0.9482103201449006,0.0046547034811035,100000,2.0,0.0,9.8,1.32664991614216,1,9905,-7.800000000000001
0.0064131028165864,0.9482103201449006,0.0046547034811035,100000,2.0,0.0,9.6,1.743559577416269,2,59950,-7.6
0.0019880870420553,0.9835464533687276,0.0042829717681064,10000,2.0,0.0,8.9,1.374772708486752,0,27185,-6.9
0.0019880870420553,0.9835464533687276,0.0042829717681064,10000,2.0,0.0,8.6,1.8547236990991407,1,54357,-6.6
0.0019880870420553,0.9835464533687276,0.0042829717681064,10000,1000.0,0.0,438.1,13.072490198887127,2,17425,561.9
0.0006820359859632,0.8304871690080659,0.0065761597444217,1000000,231.7,374.51516658207584,831.8,337.2339840526159,0,72698,-600.0999999999999
0.0006820359859632,0.8304871690080659,0.0065761597444217,1000000,163.7,72.99732871824831,131.7,7.9,1,66046,32.0
0.0006820359859632,0.8304871690080659,0.0065761597444217,1000000,2.0,0.0,9.3,1.676305461424021,2,62669,-7.300000000000001
0.0019246257256743,0.9112393853137252,0.0025659023450105,100000,2.0,0.0,8.2,1.32664991614216,0,68751,-6.199999999999999
0.0019246257256743,0.9112393853137252,0.0025659023450105,100000,479.3,242.8798262515848,1000.0,0.0,1,18185,-520.7
0.0019246257256743,0.9112393853137252,0.0025659023450105,100000,1000.0,0.0,506.6,493.4006890955868,2,12994,493.4
0.0034046307532927,0.8039437735772652,0.0090697886320797,10000,2.0,0.0,9.2,1.6613247725836149,0,15358,-7.199999999999999
0.0034046307532927,0.8039437735772652,0.0090697886320797,10000,2.0,0.0,9.6,1.42828568570857,1,34096,-7.6
0.0034046307532927,0.8039437735772652,0.0090697886320797,10000,2.0,0.0,10.0,1.8439088914585773,2,94564,-8.0
0.0032240953957544,0.8408225367953809,0.0080182168865318,100000,2.0,0.0,9.3,1.6155494421403511,0,58023,-7.300000000000001
0.0032240953957544,0.8408225367953809,0.0080182168865318,100000,2.0,0.0,9.3,2.0024984394500787,1,3516,-7.300000000000001
0.0032240953957544,0.8408225367953809,0.0080182168865318,100000,2.0,0.0,9.4,1.42828568570857,2,57617,-7.4
0.0033810551274384,0.9864967654414064,0.0080307970863428,100000,2.0,0.0,9.4,1.5620499351813308,0,53601,-7.4
0.0033810551274384,0.9864967654414064,0.0080307970863428,100000,2.0,0.0,8.6,1.9595917942265424,1,88421,-6.6
0.0033810551274384,0.9864967654414064,0.0080307970863428,100000,2.0,0.0,9.0,2.0,2,39117,-7.0
0.0004275725534818,0.8778354810538116,0.0027816532445544,1000000,1000.0,0.0,1000.0,0.0,0,57119,0.0
0.0004275725534818,0.8778354810538116,0.0027816532445544,1000000,1000.0,0.0,1000.0,0.0,1,58226,0.0
0.0004275725534818,0.8778354810538116,0.0027816532445544,1000000,630.8,304.4036136447792,1000.0,0.0,2,3607,-369.20000000000005
0.0001355948129816,0.8111731729896361,0.0041535645907945,100000,155.5,61.48211121944334,539.6,183.1929037926961,0,32583,-384.1
0.0001355948129816,0.8111731729896361,0.0041535645907945,100000,140.6,104.94207926280096,129.8,15.190786681406596,1,94247,10.799999999999983
0.0001355948129816,0.8111731729896361,0.0041535645907945,100000,52.2,2.481934729198171,121.5,10.327148686835104,2,13610,-69.3
0.0013465374906706,0.9535372794357184,0.0079500228610937,100000,1000.0,0.0,1000.0,0.0,0,25057,0.0
0.0013465374906706,0.9535372794357184,0.0079500228610937,100000,1000.0,0.0,1000.0,0.0,1,95020,0.0
0.0013465374906706,0.9535372794357184,0.0079500228610937,100000,2.0,0.0,8.5,1.02469507659596,2,93273,-6.5
0.0001950587415039,0.9532589717182434,0.0020834500783511,10000,1000.0,0.0,943.0,171.0,0,75623,57.0
0.0001950587415039,0.9532589717182434,0.0020834500783511,10000,1000.0,0.0,1000.0,0.0,1,90302,0.0
0.0001950587415039,0.9532589717182434,0.0020834500783511,10000,909.1,216.8946518473888,1000.0,0.0,2,6537,-90.89999999999998
