learning_rate,gamma,tau,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,seed_repetition,seed_value,generalization_gap
0.0003104611248064,0.8245056248789048,0.0091241748534634,0.0133769364305187,135.5,5.389805191284746,323.8,92.33070995069842,0,94600,-188.3
0.0003104611248064,0.8245056248789048,0.0091241748534634,0.0133769364305187,1000.0,0.0,936.4,190.8,1,60697,63.60000000000002
0.0003104611248064,0.8245056248789048,0.0091241748534634,0.0133769364305187,87.9,1.8681541692269403,215.0,26.81417535558385,2,62416,-127.1
0.0010303677467524,0.9437473648600816,0.0091236320616193,0.0407969963497821,1000.0,0.0,1000.0,0.0,0,47420,0.0
0.0010303677467524,0.9437473648600816,0.0091236320616193,0.0407969963497821,1000.0,0.0,1000.0,0.0,1,33819,0.0
0.0010303677467524,0.9437473648600816,0.0091236320616193,0.0407969963497821,1000.0,0.0,1000.0,0.0,2,59606,0.0
0.000197773039076,0.8155581954345243,0.0016496760178846,0.1942857937164721,1000.0,0.0,1000.0,0.0,0,78337,0.0
0.000197773039076,0.8155581954345243,0.0016496760178846,0.1942857937164721,1000.0,0.0,1000.0,0.0,1,56259,0.0
0.000197773039076,0.8155581954345243,0.0016496760178846,0.1942857937164721,1000.0,0.0,1000.0,0.0,2,93139,0.0
0.0035110650761161,0.8176825930092855,0.0045771229038501,0.0602404088138647,1000.0,0.0,1000.0,0.0,0,85485,0.0
0.0035110650761161,0.8176825930092855,0.0045771229038501,0.0602404088138647,1000.0,0.0,1000.0,0.0,1,92493,0.0
0.0035110650761161,0.8176825930092855,0.0045771229038501,0.0602404088138647,1000.0,0.0,1000.0,0.0,2,82634,0.0
0.0001432085182251,0.959906984560386,0.0089906028966692,0.1285090758358286,1000.0,0.0,1000.0,0.0,0,38826,0.0
0.0001432085182251,0.959906984560386,0.0089906028966692,0.1285090758358286,1000.0,0.0,1000.0,0.0,1,5323,0.0
0.0001432085182251,0.959906984560386,0.0089906028966692,0.1285090758358286,1000.0,0.0,1000.0,0.0,2,92345,0.0
0.0001312040661406,0.8362761244264943,0.0065940727441747,0.0767269520608708,1000.0,0.0,1000.0,0.0,0,14205,0.0
0.0001312040661406,0.8362761244264943,0.0065940727441747,0.0767269520608708,1000.0,0.0,1000.0,0.0,1,43271,0.0
0.0001312040661406,0.8362761244264943,0.0065940727441747,0.0767269520608708,1000.0,0.0,948.8,153.6,2,77522,51.200000000000045
0.0011376915292871,0.8812444733126159,0.0043591621812801,0.0388524842899114,1000.0,0.0,1000.0,0.0,0,63883,0.0
0.0011376915292871,0.8812444733126159,0.0043591621812801,0.0388524842899114,1000.0,0.0,1000.0,0.0,1,27190,0.0
0.0011376915292871,0.8812444733126159,0.0043591621812801,0.0388524842899114,1000.0,0.0,1000.0,0.0,2,3690,0.0
0.0005969245784315,0.8560304343351675,0.0023188020606703,0.0339841317792699,1000.0,0.0,1000.0,0.0,0,61434,0.0
0.0005969245784315,0.8560304343351675,0.0023188020606703,0.0339841317792699,1000.0,0.0,1000.0,0.0,1,77155,0.0
0.0005969245784315,0.8560304343351675,0.0023188020606703,0.0339841317792699,1000.0,0.0,954.6,136.20000000000002,2,75654,45.39999999999998
0.0002050504731651,0.9206030752849524,0.0070359402206859,0.1851278143946598,1000.0,0.0,1000.0,0.0,0,26461,0.0
0.0002050504731651,0.9206030752849524,0.0070359402206859,0.1851278143946598,1000.0,0.0,1000.0,0.0,1,97189,0.0
0.0002050504731651,0.9206030752849524,0.0070359402206859,0.1851278143946598,1000.0,0.0,1000.0,0.0,2,12705,0.0
0.0034213297390553,0.9787042842899594,0.0063240380440347,0.1670304290412247,1000.0,0.0,1000.0,0.0,0,60115,0.0
0.0034213297390553,0.9787042842899594,0.0063240380440347,0.1670304290412247,1000.0,0.0,1000.0,0.0,1,21715,0.0
0.0034213297390553,0.9787042842899594,0.0063240380440347,0.1670304290412247,1000.0,0.0,1000.0,0.0,2,95502,0.0
