learning_rate,gamma,gae_lambda,vf_coef,train_reward,train_reward_std,test_reward,test_reward_std,seed_repetition,seed_value,generalization_gap
0.0038162741253338,0.9498854418813372,0.9072801936891478,0.3365162754870311,38.2,8.62322445492404,121.2,10.562196741208714,0,84486,-83.0
0.0038162741253338,0.9498854418813372,0.9072801936891478,0.3365162754870311,2.0,0.0,8.7,1.8466185312619388,1,24161,-6.699999999999999
0.0038162741253338,0.9498854418813372,0.9072801936891478,0.3365162754870311,2.0,0.0,10.6,1.6852299546352716,2,12251,-8.6
0.0001931165651721,0.8081648658337478,0.988200808908074,0.6296238461901407,1000.0,0.0,1000.0,0.0,0,40442,0.0
0.0001931165651721,0.8081648658337478,0.988200808908074,0.6296238461901407,1000.0,0.0,1000.0,0.0,1,43598,0.0
0.0001931165651721,0.8081648658337478,0.988200808908074,0.6296238461901407,1000.0,0.0,1000.0,0.0,2,18201,0.0
0.001686454309205,0.922563466346922,0.9102644886438672,0.7107312288031413,1000.0,0.0,1000.0,0.0,0,31562,0.0
0.001686454309205,0.922563466346922,0.9102644886438672,0.7107312288031413,29.5,14.108508071373103,1000.0,0.0,1,38608,-970.5
0.001686454309205,0.922563466346922,0.9102644886438672,0.7107312288031413,1000.0,0.0,1000.0,0.0,2,44820,0.0
0.0007144161925991,0.9315179507523884,0.9523843583338166,0.911632390588441,1000.0,0.0,1000.0,0.0,0,55369,0.0
0.0007144161925991,0.9315179507523884,0.9523843583338166,0.911632390588441,1000.0,0.0,1000.0,0.0,1,55339,0.0
0.0007144161925991,0.9315179507523884,0.9523843583338166,0.911632390588441,1000.0,0.0,1000.0,0.0,2,37715,0.0
0.0091686560635589,0.8733503837801246,0.9224783794835574,0.641486967424371,4.0,0.0,13.5,3.8535697735995385,0,29205,-9.5
0.0091686560635589,0.8733503837801246,0.9224783794835574,0.641486967424371,88.2,29.70791140420343,471.8,33.26199031928186,1,27234,-383.6
0.0091686560635589,0.8733503837801246,0.9224783794835574,0.641486967424371,17.2,2.785677655436824,101.1,51.744468303384856,2,22667,-83.89999999999999
0.0021295728603497,0.8978992492620216,0.9166147379102326,0.3799615684870046,1000.0,0.0,1000.0,0.0,0,72186,0.0
0.0021295728603497,0.8978992492620216,0.9166147379102326,0.3799615684870046,26.5,11.13777356566383,98.5,8.273451516749223,1,83885,-72.0
0.0021295728603497,0.8978992492620216,0.9166147379102326,0.3799615684870046,1000.0,0.0,1000.0,0.0,2,33116,0.0
0.0077552355813317,0.8588599753901546,0.950475195294988,0.985202117791702,40.6,24.017493624439663,1000.0,0.0,0,62416,-959.4
0.0077552355813317,0.8588599753901546,0.950475195294988,0.985202117791702,335.2,146.25853821230405,168.8,5.075431016179808,1,47420,166.39999999999998
0.0077552355813317,0.8588599753901546,0.950475195294988,0.985202117791702,4.0,0.0,14.4,4.543126676640219,2,33819,-10.4
0.0002864567176392,0.8355762975427395,0.9122366982166388,0.3236420365123211,1000.0,0.0,1000.0,0.0,0,59606,0.0
0.0002864567176392,0.8355762975427395,0.9122366982166388,0.3236420365123211,1000.0,0.0,1000.0,0.0,1,78337,0.0
0.0002864567176392,0.8355762975427395,0.9122366982166388,0.3236420365123211,1000.0,0.0,1000.0,0.0,2,56259,0.0
0.0001896450911527,0.9607940239597126,0.9810241627516928,0.3783149067050472,1000.0,0.0,1000.0,0.0,0,93139,0.0
0.0001896450911527,0.9607940239597126,0.9810241627516928,0.3783149067050472,1000.0,0.0,1000.0,0.0,1,85485,0.0
0.0001896450911527,0.9607940239597126,0.9810241627516928,0.3783149067050472,1000.0,0.0,1000.0,0.0,2,92493,0.0
0.0056537608931472,0.9181978512801632,0.9284448436781504,0.7284798907875091,2.0,0.0,9.4,1.624807680927192,0,82634,-7.4
0.0056537608931472,0.9181978512801632,0.9284448436781504,0.7284798907875091,4.0,0.0,13.3,4.670117771534247,1,38826,-9.3
