learning_rate,gamma,tau,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,n_seeds
0.0003104611248064,0.8245056248789048,0.0091241748534634,0.0133769364305187,407.8,2.419319786837229,491.7333333333333,103.31496176876077,-83.93333333333332,3
0.0010303677467524,0.9437473648600816,0.0091236320616193,0.0407969963497821,1000.0,0.0,1000.0,0.0,0.0,3
0.000197773039076,0.8155581954345243,0.0016496760178846,0.1942857937164721,1000.0,0.0,1000.0,0.0,0.0,3
0.0035110650761161,0.8176825930092855,0.0045771229038501,0.0602404088138647,1000.0,0.0,1000.0,0.0,0.0,3
0.0001432085182251,0.959906984560386,0.0089906028966692,0.1285090758358286,1000.0,0.0,1000.0,0.0,0.0,3
0.0001312040661406,0.8362761244264943,0.0065940727441747,0.0767269520608708,1000.0,0.0,982.9333333333334,51.199999999999996,17.06666666666668,3
0.0011376915292871,0.8812444733126159,0.0043591621812801,0.0388524842899114,1000.0,0.0,1000.0,0.0,0.0,3
0.0005969245784315,0.8560304343351675,0.0023188020606703,0.0339841317792699,1000.0,0.0,984.8666666666667,45.400000000000006,15.133333333333326,3
0.0002050504731651,0.9206030752849524,0.0070359402206859,0.1851278143946598,1000.0,0.0,1000.0,0.0,0.0,3
0.0034213297390553,0.9787042842899594,0.0063240380440347,0.1670304290412247,1000.0,0.0,1000.0,0.0,0.0,3
0.0001815399914898,0.9781873192131174,0.0082725239168653,0.1952560370322437,1000.0,0.0,1000.0,0.0,0.0,3
0.0078071890485371,0.9044327102038722,0.0023250177611393,0.0224352304802415,1000.0,0.0,1000.0,0.0,0.0,3
0.0094436212369204,0.8047171180876094,0.00874227157876,0.1765932784716039,688.1666666666666,0.16666666666666666,721.0,2.4988886418655083,-32.833333333333336,3
0.0032305821250143,0.8267099020872671,0.0074695462427475,0.1412587149040343,1000.0,0.0,1000.0,0.0,0.0,3
0.0002428305658685,0.8269944605105748,0.0092031108657355,0.152950700442796,1000.0,0.0,1000.0,0.0,0.0,3
0.0004712098426945,0.8444566130676602,0.0057924847117996,0.1893722130797806,1000.0,0.0,1000.0,0.0,0.0,3
