learning_rate,gamma,gae_lambda,vf_coef,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,n_seeds
0.0038162741253338,0.9498854418813372,0.9072801936891478,0.3365162754870311,14.066666666666668,2.874408151641347,46.833333333333336,4.698015075701975,-32.766666666666666,3
0.0001931165651721,0.8081648658337478,0.988200808908074,0.6296238461901407,1000.0,0.0,1000.0,0.0,0.0,3
0.001686454309205,0.922563466346922,0.9102644886438672,0.7107312288031413,676.5,4.7028360237910345,1000.0,0.0,-323.5,3
0.0007144161925991,0.9315179507523884,0.9523843583338166,0.911632390588441,1000.0,0.0,1000.0,0.0,0.0,3
0.0091686560635589,0.8733503837801246,0.9224783794835574,0.641486967424371,36.46666666666667,10.831196353213416,195.46666666666667,29.620009465422083,-159.0,3
0.0021295728603497,0.8978992492620216,0.9166147379102326,0.3799615684870046,675.5,3.71259118855461,699.5,2.757817172249741,-24.0,3
0.0077552355813317,0.8588599753901546,0.950475195294988,0.985202117791702,126.60000000000001,56.75867727891457,394.40000000000003,3.2061858976066753,-267.8,3
0.0002864567176392,0.8355762975427395,0.9122366982166388,0.3236420365123211,1000.0,0.0,1000.0,0.0,0.0,3
0.0001896450911527,0.9607940239597126,0.9810241627516928,0.3783149067050472,1000.0,0.0,1000.0,0.0,0.0,3
0.0056537608931472,0.9181978512801632,0.9284448436781504,0.7284798907875091,3.3333333333333335,0.0,13.100000000000001,3.612684043033886,-9.766666666666667,3
0.0008042512872255,0.8792467072142576,0.940670795210085,0.3932563702461161,1000.0,0.0,1000.0,0.0,0.0,3
0.0004569416650475,0.9346496663135764,0.921627027164068,0.2820060538239258,1000.0,0.0,1000.0,0.0,0.0,3
0.0004368036698312,0.9166591507272938,0.9819671453479708,0.808544526974533,1000.0,0.0,1000.0,0.0,0.0,3
0.0002195925149873,0.9660618578836494,0.9674516772490026,0.7566718580327798,1000.0,0.0,1000.0,0.0,0.0,3
0.0086633815860307,0.9577477564735744,0.9237403188955672,0.4238694643864181,8.6,2.0645150089602695,19.133333333333333,7.502008692420972,-10.533333333333333,3
0.0034510182321171,0.8717008994456475,0.9169408936372035,0.7310003273870096,372.1666666666667,26.766333391596447,784.2666666666668,28.349328818235616,-412.1000000000001,3
0.0003856425301954,0.8003097153080118,0.9460245220463374,0.6932713159408788,754.0666666666666,32.49572580860502,1000.0,0.0,-245.93333333333337,3
0.0030106570599357,0.9982088984047044,0.967872096912209,0.8389970217650071,2.6666666666666665,0.0,9.733333333333333,1.9341601090010065,-7.066666666666666,3
0.0012786122455171,0.9597253987373656,0.939883154752174,0.3698930041570705,684.7666666666668,0.21343747458109497,709.1999999999999,4.973708654291864,-24.433333333333334,3
0.0001230577297275,0.958129726242341,0.9833752756544109,0.2598021830429205,671.0,0.0,677.3666666666667,2.6053364039558837,-6.366666666666667,3
0.0055081197531504,0.8457617052613202,0.9672347570807244,0.728219397851526,3.3333333333333335,0.0,14.333333333333334,3.316281459795338,-11.0,3
0.0059416211726433,0.8964318399599592,0.9227229800689292,0.9123216500927628,36.93333333333334,8.529129811314542,99.2,5.520177711866423,-62.26666666666667,3
0.0003502374203275,0.9553289466430376,0.9175217708500268,0.4292655480379225,1000.0,0.0,1000.0,0.0,0.0,3
0.0061064974986954,0.8537277024368574,0.9272118018238528,0.4567523519670695,87.5,69.19782430748013,340.90000000000003,1.9422754082951679,-253.4,3
0.0015466777515236,0.9195775718263808,0.9508982090613622,0.4370824262088341,1000.0,0.0,1000.0,0.0,0.0,3
0.0031560525015442,0.9624936629548986,0.9006139493929355,0.7010254380441034,11.966666666666667,0.9243616415908033,150.53333333333333,32.096028846680284,-138.5666666666667,3
0.0076766549304786,0.945313783733299,0.9074554655317334,0.3950950653780288,29.8,8.216784989006074,48.0,8.669472321047643,-18.2,3
0.0080008470660052,0.9293431836100908,0.9711478670748752,0.7869390433447148,347.1666666666667,3.534748144414881,358.43333333333334,6.526549346041349,-11.266666666666666,3
0.0009451998572519,0.8968782712846817,0.9339108152949348,0.37633184641919,1000.0,0.0,1000.0,0.0,0.0,3
0.0003570821924764,0.9312940770776156,0.9450236088945472,0.3966835465435393,1000.0,0.0,1000.0,0.0,0.0,3
